"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Adams, Pennsylvania",102470,76554,10,90,58,12.9,3.3,68.8,14,2,15,18,11,73,24,8.9,37,18,7,3.5,5.2,78,19.6,17,1859:1,3029:1,835:1,2541,53,55,10,42,33,3,88,Y,0.24,32,78,10,48,79.4,305,42,4,11,16,8,215,19,8,6,1178:1,19.1,21.8,63.3
"Allegheny, Pennsylvania",1221744,71973,14,95,80,11.3,4.2,68.9,14,9,14,21,10,93,21,8.3,32,16,9,3.3,5.1,110,17.1,20,915:1,1022:1,225:1,3140,46,53,13,39,34,4,89,N,0,30,65,12,202,77.2,393,56,6,10,15,8,266,50,6,3,401:1,18.4,20.4,2.4
"Armstrong, Pennsylvania",65867,57609,16,92,56,19.2,5.3,48.2,20,3,16,17,16,73,25,8.3,36,20,7,3.8,5.1,124,18.6,17,2325:1,3237:1,654:1,2839,43,41,10,45,37,6,83,Y,0.33,27,79,8,34,75.3,469,56,6,12,17,9,78,45,6,4,1177:1,18.9,24.0,64.9
"Beaver, Pennsylvania",165833,67135,14,95,69,14.0,5.4,68.8,14,4,15,18,14,85,23,7.7,36,19,7,3.6,4.7,98,16.7,21,2563:1,1972:1,640:1,2920,45,48,10,38,35,4,86,Y,0.07,36,74,9,77,75.9,446,50,6,11,16,9,89,41,6,3,1035:1,19.2,22.9,28.9
"Bedford, Pennsylvania",48337,55517,15,90,52,17.7,4.5,46.3,22,3,17,17,17,65,26,8.2,37,21,6,3.9,5.2,119,15.6,19,2966:1,2155:1,668:1,2908,48,37,10,35,35,6,81,Y,0.56,22,79,10,15,76.5,436,52,6,12,18,9,80,34,9,6,912:1,19.2,23.9,90.7
"Berks, Pennsylvania",418025,72157,14,88,59,10.7,4.3,58.2,15,4,17,17,18,86,25,8.6,36,18,8,3.7,5,82,16.4,21,1590:1,1786:1,557:1,3678,45,55,13,33,35,5,86,Y,0.05,30,71,12,146,78.0,359,49,6,12,16,10,254,32,9,5,1068:1,21.8,18.2,26.6
"Blair, Pennsylvania",123157,57884,17,93,59,18.5,4.5,74.3,17,2,16,17,18,78,25,8.1,34,21,7,3.9,5.1,93,20.1,23,1295:1,1552:1,341:1,3452,43,44,12,21,37,5,83,Y,0.11,33,72,10,95,75.4,463,41,6,12,18,9,98,32,8,5,455:1,19.9,21.7,25.7
"Bradford, Pennsylvania",60963,63529,17,91,51,14.0,4.2,78.2,17,3,17,17,24,61,27,8.2,41,21,6,3.9,5.1,91,18.9,25,982:1,1814:1,981:1,2715,51,45,11,34,37,11,84,Y,0.48,34,72,9,27,77.6,379,47,,12,18,9,75,20,9,6,372:1,21.9,22.6,73.0
"Bucks, Pennsylvania",626806,105202,7,95,73,8.0,3.8,55.5,13,2,12,19,5,92,21,9.1,31,15,7,2.9,4.9,82,12.3,19,1238:1,1142:1,333:1,2956,47,60,13,44,35,7,93,Y,0.01,28,78,12,140,79.3,308,32,3,9,15,7,164,34,5,3,1146:1,19.7,20.7,10.3
"Butler, Pennsylvania",186899,81507,8,96,74,12.0,4.2,63.1,14,1,12,20,7,84,21,8.9,32,16,7,3.3,4.4,85,16.3,21,1472:1,1399:1,472:1,2318,48,50,10,43,35,4,89,Y,0.14,35,76,10,49,77.9,346,34,4,10,15,7,49,37,5,3,799:1,18.9,20.8,43.3
"Cambria, Pennsylvania",133009,54612,22,93,63,19.8,5.4,68,18,5,16,17,17,85,26,7.7,39,20,9,3.9,5.5,134,22.3,22,1437:1,1685:1,440:1,3429,46,42,11,29,37,5,81,Y,0.02,37,76,10,54,74.9,483,45,6,12,18,9,100,58,7,3,567:1,19.0,24.2,46.1
"Cameron, Pennsylvania",4611,50338,23,93,53,24.7,5.7,,,,19,16,21,31,29,7.6,39,24,9,4.3,5.5,99,,,2230:1,1105:1,2209:1,3580,46,43,13,21,38,,78,Y,1,,71,9,0,77.0,440,,,14,19,10,,,7,5,631:1,17.3,29.2,100.0
"Carbon, Pennsylvania",63887,64766,16,90,54,13.3,5.1,66.4,24,3,17,17,15,65,27,8.3,36,20,8,3.9,5.5,142,21.7,26,2973:1,2424:1,1284:1,3508,47,55,14,52,35,13,87,Y,0.15,37,75,12,42,75.3,461,48,,12,17,9,263,54,7,4,1091:1,18.8,22.5,58.9
"Centre, Pennsylvania",161960,67654,10,95,73,13.1,3.6,62.3,10,1,14,19,2,76,23,8.9,33,17,6,3.4,5.2,45,14.6,16,1202:1,1703:1,410:1,2402,56,57,18,23,35,1,85,Y,0.21,34,63,17,90,81.6,229,29,5,11,16,9,148,7,7,6,720:1,14.3,16.0,34.6
"Chester, Pennsylvania",519560,117326,6,95,81,9.7,3.2,54.9,12,2,11,18,5,90,18,9.1,32,12,6,3,4.6,64,14.2,16,1250:1,1433:1,347:1,2655,47,60,12,43,31,5,93,Y,0.03,25,75,11,104,81.1,241,33,4,9,14,7,108,23,6,5,963:1,21.8,17.9,19.3
"Clarion, Pennsylvania",38715,57844,16,91,54,15.6,5.2,73.7,17,,17,18,11,48,26,7.8,37,21,6,4,5.4,85,15.7,26,2186:1,2334:1,602:1,2595,45,40,13,31,37,,82,Y,0.32,24,71,10,22,75.9,442,45,8,12,18,9,206,18,8,6,889:1,18.6,20.7,84.8
"Clearfield, Pennsylvania",79908,59318,16,90,53,17.6,5.4,86.4,23,2,18,18,18,64,27,7.7,37,22,9,3.9,5.2,100,24.1,29,2164:1,2226:1,295:1,3099,53,43,12,33,37,10,80,Y,0.42,42,78,10,26,76.2,423,79,8,13,18,10,97,30,8,5,430:1,18.3,22.1,61.3
"Clinton, Pennsylvania",38915,58892,18,90,51,12.3,5.3,86.8,19,,17,18,12,55,27,8.0,37,22,7,4,5.3,78,28,38,2882:1,2371:1,690:1,2705,49,55,12,32,36,6,82,Y,0.19,37,71,11,49,77.0,403,63,,13,18,9,81,19,9,7,973:1,19.9,19.9,47.9
